Location,year,variety,inoculum,date,dap,dt,N Rows,myIncObs,myInc_dy,myIncCum,myIncAbsR,alIncObs,alInc_dy,alIncCum,alIncAbsR,syIncObs,syInc_dy,syIncCum,syIncAbsR
LiveOak,2019,GA06G,Scl1,7/5/2019,44,44,4,0,0,0,0,0,0,0,0,0,0,0,0
LiveOak,2019,GA06G,Scl1,7/10/2019,49,5,4,2.5,2.5,2.5,0.5,2.5,2.5,2.5,0.5,0,0,0,0
LiveOak,2019,GA06G,Scl1,7/24/2019,63,14,4,73.75,71.25,73.75,5.089285714,76.25,73.75,76.25,5.267857143,65,65,65,4.642857143
LiveOak,2019,GA06G,Scl1,8/9/2019,79,16,4,62.5,16.25,90,1.015625,75,18.75,95,1.171875,75,27.5,92.5,1.71875
LiveOak,2019,GA06G,Scl1,8/22/2019,92,13,4,6.25,0,90,0,20,0,95,0,20,0,92.5,0
LiveOak,2019,GA06G,Scl1,9/4/2019,105,13,4,7.5,0,90,0,25,0,95,0,23.75,0,92.5,0
LiveOak,2019,GA06G,Scl1,9/18/2019,119,14,4,2.5,0,90,0,22.5,0,95,0,22.5,0,92.5,0
LiveOak,2020,GA06G,Scl1,7/8/2020,54,54,4,0,0,0,0,0,0,0,0,0,0,0,0
LiveOak,2020,GA06G,Scl1,7/22/2020,68,14,4,8.75,8.75,8.75,0.625,8.75,8.75,8.75,0.625,0,0,0,0
LiveOak,2020,GA06G,Scl1,8/5/2020,82,14,4,45,40,48.75,2.857142857,45,40,48.75,2.857142857,6.25,6.25,6.25,0.446428571
LiveOak,2020,GA06G,Scl1,8/19/2020,96,14,4,21.25,10,58.75,0.714285714,25,11.25,60,0.803571429,10,8.75,15,0.625
LiveOak,2020,GA06G,Scl1,9/2/2020,110,14,4,15,5,63.75,0.357142857,18.75,5,65,0.357142857,7.5,6.25,21.25,0.446428571
LiveOak,2020,GA06G,Scl1,9/22/2020,130,20,4,0,0,63.75,0,25,5,70,0.25,25,16.25,37.5,0.8125
Marianna,2019,GA06G,Scl1,7/3/2019,42,42,4,0,0,0,0,0,0,0,0,0,0,0,0
Marianna,2019,GA06G,Scl1,7/12/2019,51,9,4,1.25,1.25,1.25,0.138888889,1.25,1.25,1.25,0.138888889,1.25,1.25,1.25,0.138888889
Marianna,2019,GA06G,Scl1,7/24/2019,63,12,4,22.5,22.5,23.75,1.875,22.5,22.5,23.75,1.875,11.25,11.25,12.5,0.9375
