location,YEAR,DOY,GWETTOP,TIMESTAMP
mar,2019,121,0.54,5/1/2019
mar,2019,122,0.54,5/2/2019
mar,2019,123,0.53,5/3/2019
mar,2019,124,0.56,5/4/2019
mar,2019,125,0.57,5/5/2019
mar,2019,126,0.52,5/6/2019
mar,2019,127,0.49,5/7/2019
mar,2019,128,0.47,5/8/2019
mar,2019,129,0.51,5/9/2019
mar,2019,130,0.69,5/10/2019
mar,2019,131,0.62,5/11/2019
mar,2019,132,0.63,5/12/2019
mar,2019,133,0.59,5/13/2019
mar,2019,134,0.54,5/14/2019
mar,2019,135,0.52,5/15/2019
mar,2019,136,0.51,5/16/2019
mar,2019,137,0.5,5/17/2019
mar,2019,138,0.48,5/18/2019
mar,2019,139,0.45,5/19/2019
mar,2019,140,0.42,5/20/2019
mar,2019,141,0.4,5/21/2019
mar,2019,142,0.38,5/22/2019
mar,2019,143,0.37,5/23/2019
mar,2019,144,0.34,5/24/2019
mar,2019,145,0.33,5/25/2019
mar,2019,146,0.32,5/26/2019
mar,2019,147,0.3,5/27/2019
mar,2019,148,0.3,5/28/2019
mar,2019,149,0.29,5/29/2019
mar,2019,150,0.28,5/30/2019
mar,2019,151,0.3,5/31/2019
mar,2019,152,0.3,6/1/2019
mar,2019,153,0.28,6/2/2019
mar,2019,154,0.27,6/3/2019
mar,2019,155,0.26,6/4/2019
mar,2019,156,0.27,6/5/2019
mar,2019,157,0.39,6/6/2019
mar,2019,158,0.44,6/7/2019
mar,2019,159,0.44,6/8/2019
mar,2019,160,0.55,6/9/2019
mar,2019,161,0.54,6/10/2019
mar,2019,162,0.45,6/11/2019
mar,2019,163,0.53,6/12/2019
mar,2019,164,0.42,6/13/2019
mar,2019,165,0.38,6/14/2019
mar,2019,166,0.35,6/15/2019
mar,2019,167,0.34,6/16/2019
mar,2019,168,0.35,6/17/2019
mar,2019,169,0.41,6/18/2019
mar,2019,170,0.49,6/19/2019
mar,2019,171,0.45,6/20/2019
mar,2019,172,0.46,6/21/2019
mar,2019,173,0.46,6/22/2019
mar,2019,174,0.42,6/23/2019
mar,2019,175,0.38,6/24/2019
mar,2019,176,0.38,6/25/2019
mar,2019,177,0.36,6/26/2019
mar,2019,178,0.34,6/27/2019
mar,2019,179,0.37,6/28/2019
mar,2019,180,0.55,6/29/2019
mar,2019,181,0.44,6/30/2019
mar,2019,182,0.38,7/1/2019
mar,2019,183,0.36,7/2/2019
mar,2019,184,0.38,7/3/2019
mar,2019,185,0.41,7/4/2019
mar,2019,186,0.43,7/5/2019
mar,2019,187,0.54,7/6/2019
mar,2019,188,0.6,7/7/2019
mar,2019,189,0.49,7/8/2019
mar,2019,190,0.5,7/9/2019
mar,2019,191,0.49,7/10/2019
mar,2019,192,0.48,7/11/2019
mar,2019,193,0.51,7/12/2019
mar,2019,194,0.52,7/13/2019
mar,2019,195,0.47,7/14/2019
mar,2019,196,0.47,7/15/2019
mar,2019,197,0.43,7/16/2019
mar,2019,198,0.4,7/17/2019
mar,2019,199,0.4,7/18/2019
mar,2019,200,0.59,7/19/2019
mar,2019,201,0.55,7/20/2019
mar,2019,202,0.51,7/21/2019
mar,2019,203,0.46,7/22/2019
mar,2019,204,0.48,7/23/2019
mar,2019,205,0.5,7/24/2019
mar,2019,206,0.42,7/25/2019
mar,2019,207,0.4,7/26/2019
mar,2019,208,0.38,7/27/2019
mar,2019,209,0.37,7/28/2019
mar,2019,210,0.36,7/29/2019
mar,2019,211,0.34,7/30/2019
mar,2019,212,0.33,7/31/2019
mar,2019,213,0.38,8/1/2019
mar,2019,214,0.4,8/2/2019
mar,2019,215,0.55,8/3/2019
mar,2019,216,0.46,8/4/2019
mar,2019,217,0.49,8/5/2019
mar,2019,218,0.48,8/6/2019
mar,2019,219,0.43,8/7/2019
mar,2019,220,0.41,8/8/2019
mar,2019,221,0.39,8/9/2019
mar,2019,222,0.45,8/10/2019
mar,2019,223,0.43,8/11/2019
mar,2019,224,0.42,8/12/2019
mar,2019,225,0.42,8/13/2019
mar,2019,226,0.45,8/14/2019
mar,2019,227,0.51,8/15/2019
mar,2019,228,0.48,8/16/2019
mar,2019,229,0.41,8/17/2019
mar,2019,230,0.52,8/18/2019
mar,2019,231,0.61,8/19/2019
mar,2019,232,0.54,8/20/2019
mar,2019,233,0.48,8/21/2019
mar,2019,234,0.48,8/22/2019
mar,2019,235,0.45,8/23/2019
mar,2019,236,0.48,8/24/2019
mar,2019,237,0.53,8/25/2019
mar,2019,238,0.55,8/26/2019
mar,2019,239,0.59,8/27/2019
mar,2019,240,0.52,8/28/2019
mar,2019,241,0.47,8/29/2019
mar,2019,242,0.43,8/30/2019
mar,2019,243,0.52,8/31/2019
mar,2019,244,0.54,9/1/2019
mar,2019,245,0.48,9/2/2019
mar,2019,246,0.43,9/3/2019
mar,2019,247,0.41,9/4/2019
mar,2019,248,0.38,9/5/2019
mar,2019,249,0.37,9/6/2019
mar,2019,250,0.35,9/7/2019
mar,2019,251,0.34,9/8/2019
mar,2019,252,0.36,9/9/2019
mar,2019,253,0.37,9/10/2019
mar,2019,254,0.36,9/11/2019
mar,2019,255,0.34,9/12/2019
mar,2019,256,0.32,9/13/2019
mar,2019,257,0.31,9/14/2019
mar,2019,258,0.31,9/15/2019
mar,2019,259,0.3,9/16/2019
mar,2019,260,0.29,9/17/2019
mar,2019,261,0.31,9/18/2019
mar,2019,262,0.33,9/19/2019
mar,2019,263,0.3,9/20/2019
mar,2019,264,0.29,9/21/2019
mar,2019,265,0.28,9/22/2019
mar,2019,266,0.27,9/23/2019
mar,2019,267,0.27,9/24/2019
mar,2019,268,0.26,9/25/2019
mar,2019,269,0.25,9/26/2019
mar,2019,270,0.24,9/27/2019
mar,2019,271,0.24,9/28/2019
mar,2019,272,0.23,9/29/2019
mar,2019,273,0.23,9/30/2019
mar,2019,274,0.23,10/1/2019
mar,2019,275,0.23,10/2/2019
mar,2019,276,0.22,10/3/2019
mar,2019,277,0.21,10/4/2019
mar,2019,278,0.2,10/5/2019
mar,2019,279,0.21,10/6/2019
mar,2019,280,0.22,10/7/2019
mar,2019,281,0.22,10/8/2019
mar,2019,282,0.21,10/9/2019
mar,2019,283,0.21,10/10/2019
mar,2019,284,0.2,10/11/2019
mar,2019,285,0.2,10/12/2019
mar,2019,286,0.2,10/13/2019
mar,2019,287,0.22,10/14/2019
mar,2019,288,0.48,10/15/2019
mar,2019,289,0.53,10/16/2019
mar,2019,290,0.38,10/17/2019
mar,2019,291,0.36,10/18/2019
mar,2019,292,0.54,10/19/2019
mar,2019,293,0.42,10/20/2019
mar,2019,294,0.41,10/21/2019
mar,2019,295,0.45,10/22/2019
mar,2019,296,0.38,10/23/2019
mar,2019,297,0.38,10/24/2019
mar,2019,298,0.39,10/25/2019
mar,2019,299,0.41,10/26/2019
mar,2019,300,0.41,10/27/2019
mar,2019,301,0.38,10/28/2019
mar,2019,302,0.53,10/29/2019
mar,2019,303,0.47,10/30/2019
mar,2019,304,0.5,10/31/2019
mar,2019,305,0.45,11/1/2019
mar,2019,306,0.41,11/2/2019
mar,2019,307,0.4,11/3/2019
mar,2019,308,0.4,11/4/2019
mar,2019,309,0.41,11/5/2019
mar,2019,310,0.41,11/6/2019
mar,2019,311,0.42,11/7/2019
mar,2019,312,0.54,11/8/2019
mar,2019,313,0.44,11/9/2019
mar,2019,314,0.42,11/10/2019
mar,2019,315,0.41,11/11/2019
mar,2019,316,0.46,11/12/2019
mar,2019,317,0.44,11/13/2019
mar,2019,318,0.44,11/14/2019
mar,2019,319,0.51,11/15/2019
mar,2019,320,0.46,11/16/2019
mar,2019,321,0.44,11/17/2019
mar,2019,322,0.43,11/18/2019
mar,2019,323,0.42,11/19/2019
mar,2019,324,0.41,11/20/2019
mar,2019,325,0.41,11/21/2019
mar,2019,326,0.41,11/22/2019
mar,2019,327,0.45,11/23/2019
mar,2019,328,0.45,11/24/2019
mar,2019,329,0.43,11/25/2019
mar,2019,330,0.41,11/26/2019
mar,2019,331,0.42,11/27/2019
mar,2019,332,0.41,11/28/2019
mar,2019,333,0.41,11/29/2019
mar,2019,334,0.4,11/30/2019
mar,2019,335,0.46,12/1/2019
mar,2019,336,0.43,12/2/2019
mar,2019,337,0.41,12/3/2019
mar,2019,338,0.41,12/4/2019
mar,2019,339,0.4,12/5/2019
mar,2019,340,0.4,12/6/2019
mar,2019,341,0.41,12/7/2019
mar,2019,342,0.41,12/8/2019
mar,2019,343,0.41,12/9/2019
mar,2019,344,0.44,12/10/2019
mar,2019,345,0.44,12/11/2019
mar,2019,346,0.47,12/12/2019
mar,2019,347,0.51,12/13/2019
mar,2019,348,0.55,12/14/2019
mar,2019,349,0.48,12/15/2019
mar,2019,350,0.47,12/16/2019
mar,2019,351,0.63,12/17/2019
mar,2019,352,0.56,12/18/2019
mar,2019,353,0.53,12/19/2019
mar,2019,354,0.52,12/20/2019
mar,2019,355,0.54,12/21/2019
mar,2019,356,0.78,12/22/2019
mar,2019,357,0.63,12/23/2019
mar,2019,358,0.61,12/24/2019
mar,2019,359,0.59,12/25/2019
