FAWN Station,TIMESTAMP,Rain_in,Irrig_in,RainIrr_in,rainIrr_mm
Live Oak,5/15/2019,0,,0,0
Live Oak,5/16/2019,0,,0,0
Live Oak,5/17/2019,0,,0,0
Live Oak,5/18/2019,0,,0,0
Live Oak,5/19/2019,0,,0,0
Live Oak,5/20/2019,0,,0,0
Live Oak,5/21/2019,0,,0,0
Live Oak,5/22/2019,0,,0,0
Live Oak,5/23/2019,0,,0,0
Live Oak,5/24/2019,0,,0,0
Live Oak,5/25/2019,0,,0,0
Live Oak,5/26/2019,0,,0,0
Live Oak,5/27/2019,0,,0,0
Live Oak,5/28/2019,0.44,,0.44,11.176
Live Oak,5/29/2019,0,,0,0
Live Oak,5/30/2019,0,,0,0
Live Oak,5/31/2019,0,,0,0
Live Oak,6/1/2019,0,,0,0
Live Oak,6/2/2019,0,,0,0
Live Oak,6/3/2019,0,,0,0
Live Oak,6/4/2019,0.06,,0.06,1.524
Live Oak,6/5/2019,0,,0,0
Live Oak,6/6/2019,0,,0,0
Live Oak,6/7/2019,0.5,,0.5,12.7
Live Oak,6/8/2019,0.26,,0.26,6.604
Live Oak,6/9/2019,0.75,,0.75,19.05
Live Oak,6/10/2019,0.34,,0.34,8.636
Live Oak,6/11/2019,0.89,,0.89,22.606
Live Oak,6/12/2019,1.46,,1.46,37.084
Live Oak,6/13/2019,0.09,,0.09,2.286
Live Oak,6/14/2019,0,,0,0
Live Oak,6/15/2019,0,,0,0
Live Oak,6/16/2019,0,,0,0
Live Oak,6/17/2019,0.31,,0.31,7.874
Live Oak,6/18/2019,0.23,,0.23,5.842
Live Oak,6/19/2019,0.19,,0.19,4.826
Live Oak,6/20/2019,0.23,,0.23,5.842
Live Oak,6/21/2019,0,,0,0
Live Oak,6/22/2019,0,,0,0
Live Oak,6/23/2019,0,,0,0
Live Oak,6/24/2019,0,,0,0
Live Oak,6/25/2019,0,,0,0
Live Oak,6/26/2019,0,,0,0
Live Oak,6/27/2019,0,,0,0
Live Oak,6/28/2019,0,,0,0
Live Oak,6/29/2019,0.35,,0.35,8.89
Live Oak,6/30/2019,0.01,,0.01,0.254
Live Oak,7/1/2019,0,,0,0
Live Oak,7/2/2019,0,,0,0
Live Oak,7/3/2019,0.64,,0.64,16.256
Live Oak,7/4/2019,1.31,,1.31,33.274
Live Oak,7/5/2019,1.26,,1.26,32.004
Live Oak,7/6/2019,0.06,,0.06,1.524
Live Oak,7/7/2019,0.09,,0.09,2.286
Live Oak,7/8/2019,0.02,,0.02,0.508
Live Oak,7/9/2019,0.36,,0.36,9.144
Live Oak,7/10/2019,0.91,,0.91,23.114
Live Oak,7/11/2019,0,,0,0
Live Oak,7/12/2019,0.71,,0.71,18.034
Live Oak,7/13/2019,0,,0,0
Live Oak,7/14/2019,0,,0,0
Live Oak,7/15/2019,0,,0,0
Live Oak,7/16/2019,0,,0,0
Live Oak,7/17/2019,0.01,,0.01,0.254
Live Oak,7/18/2019,0,0.5,0.5,12.7
Live Oak,7/19/2019,1.16,,1.16,29.464
Live Oak,7/20/2019,0.02,,0.02,0.508
Live Oak,7/21/2019,0.01,,0.01,0.254
Live Oak,7/22/2019,0.01,,0.01,0.254
Live Oak,7/23/2019,0.06,,0.06,1.524
Live Oak,7/24/2019,0.56,,0.56,14.224
Live Oak,7/25/2019,0,,0,0
Live Oak,7/26/2019,0.37,,0.37,9.398
Live Oak,7/27/2019,0,,0,0
Live Oak,7/28/2019,0,,0,0
Live Oak,7/29/2019,0,,0,0
Live Oak,7/30/2019,0,,0,0
Live Oak,7/31/2019,0,0.6,0.6,15.24
Live Oak,8/1/2019,1.46,,1.46,37.084
Live Oak,8/2/2019,0,,0,0
Live Oak,8/3/2019,0,,0,0
Live Oak,8/4/2019,0,,0,0
Live Oak,8/5/2019,0.08,,0.08,2.032
Live Oak,8/6/2019,0,,0,0
Live Oak,8/7/2019,0.15,,0.15,3.81
Live Oak,8/8/2019,0,,0,0
Live Oak,8/9/2019,0,,0,0
Live Oak,8/10/2019,0,,0,0
Live Oak,8/11/2019,0.68,,0.68,17.272
Live Oak,8/12/2019,0.31,,0.31,7.874
Live Oak,8/13/2019,0,,0,0
Live Oak,8/14/2019,0.08,,0.08,2.032
Live Oak,8/15/2019,0.29,,0.29,7.366
Live Oak,8/16/2019,0.02,,0.02,0.508
Live Oak,8/17/2019,0.2,,0.2,5.08
Live Oak,8/18/2019,0.33,,0.33,8.382
Live Oak,8/19/2019,1.83,,1.83,46.482
Live Oak,8/20/2019,0.01,,0.01,0.254
Live Oak,8/21/2019,0,,0,0
Live Oak,8/22/2019,0,,0,0
Live Oak,8/23/2019,0,,0,0
Live Oak,8/24/2019,0,,0,0
Live Oak,8/25/2019,0.13,,0.13,3.302
Live Oak,8/26/2019,0.15,,0.15,3.81
Live Oak,8/27/2019,0.24,,0.24,6.096
Live Oak,8/28/2019,0.01,,0.01,0.254
Live Oak,8/29/2019,0,,0,0
Live Oak,8/30/2019,0,0.5,0.5,12.7
Live Oak,8/31/2019,0.44,,0.44,11.176
Live Oak,9/1/2019,0.1,,0.1,2.54
Live Oak,9/2/2019,0.02,,0.02,0.508
Live Oak,9/3/2019,0.16,,0.16,4.064
Live Oak,9/4/2019,0.01,,0.01,0.254
Live Oak,9/5/2019,0,,0,0
Live Oak,9/6/2019,0,0.5,0.5,12.7
Live Oak,9/7/2019,0,,0,0
Live Oak,9/8/2019,0,,0,0
Live Oak,9/9/2019,0,0.5,0.5,12.7
Live Oak,9/10/2019,0,,0,0
Live Oak,9/11/2019,0,,0,0
Live Oak,9/12/2019,0,,0,0
Live Oak,9/13/2019,0,0.5,0.5,12.7
Live Oak,9/14/2019,0,,0,0
Live Oak,9/15/2019,0,,0,0
Live Oak,9/16/2019,0.02,0.5,0.52,13.208
Live Oak,9/17/2019,0,,0,0
Live Oak,9/18/2019,0,,0,0
Live Oak,9/19/2019,0,,0,0
Live Oak,9/20/2019,0,,0,0
Live Oak,9/21/2019,0,,0,0
Live Oak,9/22/2019,0,0.5,0.5,12.7
