FAWN Station,TIMESTAMP,Rain_in,Irrig_in,RainIrr_in,rainIrr_mm
Marianna,5/15/2019,0,,0,0
Marianna,5/16/2019,0,,0,0
Marianna,5/17/2019,0,,0,0
Marianna,5/18/2019,0,,0,0
Marianna,5/19/2019,0,,0,0
Marianna,5/20/2019,0,,0,0
Marianna,5/21/2019,0,,0,0
Marianna,5/22/2019,0,,0,0
Marianna,5/23/2019,0,,0,0
Marianna,5/24/2019,0,0.51,0.51,12.954
Marianna,5/25/2019,0,,0,0
Marianna,5/26/2019,0,,0,0
Marianna,5/27/2019,0,,0,0
Marianna,5/28/2019,0,,0,0
Marianna,5/29/2019,0,,0,0
Marianna,5/30/2019,0,,0,0
Marianna,5/31/2019,0,0.51,0.51,12.954
Marianna,6/1/2019,0,,0,0
Marianna,6/2/2019,0,,0,0
Marianna,6/3/2019,0,,0,0
Marianna,6/4/2019,0,,0,0
Marianna,6/5/2019,0,,0,0
Marianna,6/6/2019,0.05,0.51,0.56,14.224
Marianna,6/7/2019,0,,0,0
Marianna,6/8/2019,0,,0,0
Marianna,6/9/2019,0.54,,0.54,13.716
Marianna,6/10/2019,0.23,,0.23,5.842
Marianna,6/11/2019,0,,0,0
Marianna,6/12/2019,0,,0,0
Marianna,6/13/2019,0,,0,0
Marianna,6/14/2019,0,0.51,0.51,12.954
Marianna,6/15/2019,0,,0,0
Marianna,6/16/2019,0,,0,0
Marianna,6/17/2019,0.03,,0.03,0.762
Marianna,6/18/2019,0,,0,0
Marianna,6/19/2019,0.09,,0.09,2.286
Marianna,6/20/2019,0,,0,0
Marianna,6/21/2019,0,0.51,0.51,12.954
Marianna,6/22/2019,0,,0,0
Marianna,6/23/2019,0,,0,0
Marianna,6/24/2019,0.09,,0.09,2.286
Marianna,6/25/2019,0,,0,0
Marianna,6/26/2019,0,,0,0
Marianna,6/27/2019,0,,0,0
Marianna,6/28/2019,0.11,0.51,0.62,15.748
Marianna,6/29/2019,0.03,,0.03,0.762
Marianna,6/30/2019,0.03,,0.03,0.762
Marianna,7/1/2019,0.01,,0.01,0.254
Marianna,7/2/2019,0.08,,0.08,2.032
Marianna,7/3/2019,0,,0,0
Marianna,7/4/2019,0,,0,0
Marianna,7/5/2019,0,,0,0
Marianna,7/6/2019,0.22,,0.22,5.588
Marianna,7/7/2019,0.05,,0.05,1.27
Marianna,7/8/2019,0.27,,0.27,6.858
Marianna,7/9/2019,0,,0,0
Marianna,7/10/2019,0.42,,0.42,10.668
Marianna,7/11/2019,0.1,,0.1,2.54
Marianna,7/12/2019,0.04,,0.04,1.016
Marianna,7/13/2019,0.02,,0.02,0.508
Marianna,7/14/2019,0.21,,0.21,5.334
Marianna,7/15/2019,0.04,,0.04,1.016
Marianna,7/16/2019,0,,0,0
Marianna,7/17/2019,0,,0,0
Marianna,7/18/2019,0.02,,0.02,0.508
Marianna,7/19/2019,0,,0,0
Marianna,7/20/2019,0.02,,0.02,0.508
Marianna,7/21/2019,0.17,,0.17,4.318
Marianna,7/22/2019,0.01,,0.01,0.254
Marianna,7/23/2019,0.03,,0.03,0.762
Marianna,7/24/2019,0,,0,0
Marianna,7/25/2019,0,,0,0
Marianna,7/26/2019,0,,0,0
Marianna,7/27/2019,0,,0,0
Marianna,7/28/2019,0,0.82,0.82,20.828
Marianna,7/29/2019,0,0.2,0.2,5.08
Marianna,7/30/2019,0,0.2,0.2,5.08
Marianna,7/31/2019,0,,0,0
Marianna,8/1/2019,0.11,,0.11,2.794
Marianna,8/2/2019,0.01,,0.01,0.254
Marianna,8/3/2019,0.16,,0.16,4.064
Marianna,8/4/2019,0,,0,0
Marianna,8/5/2019,0.08,,0.08,2.032
Marianna,8/6/2019,0.04,,0.04,1.016
Marianna,8/7/2019,0,,0,0
Marianna,8/8/2019,0.27,,0.27,6.858
Marianna,8/9/2019,0.04,,0.04,1.016
Marianna,8/10/2019,0,,0,0
Marianna,8/11/2019,0,,0,0
Marianna,8/12/2019,0,,0,0
Marianna,8/13/2019,0.01,0.51,0.52,13.208
Marianna,8/14/2019,0.05,,0.05,1.27
Marianna,8/15/2019,0,,0,0
Marianna,8/16/2019,0,,0,0
Marianna,8/17/2019,0,,0,0
Marianna,8/18/2019,0.13,,0.13,3.302
Marianna,8/19/2019,0.07,,0.07,1.778
Marianna,8/20/2019,0,,0,0
Marianna,8/21/2019,0,,0,0
Marianna,8/22/2019,0,,0,0
Marianna,8/23/2019,0,,0,0
Marianna,8/24/2019,0.01,,0.01,0.254
Marianna,8/25/2019,0,0.51,0.51,12.954
Marianna,8/26/2019,0.06,,0.06,1.524
Marianna,8/27/2019,0.08,,0.08,2.032
Marianna,8/28/2019,0,,0,0
Marianna,8/29/2019,0,,0,0
Marianna,8/30/2019,0,,0,0
Marianna,8/31/2019,0.11,,0.11,2.794
Marianna,9/1/2019,0,,0,0
Marianna,9/2/2019,0,,0,0
Marianna,9/3/2019,0,,0,0
Marianna,9/4/2019,0,0.82,0.82,20.828
Marianna,9/5/2019,0,,0,0
Marianna,9/6/2019,0,,0,0
Marianna,9/7/2019,0,1.02,1.02,25.908
Marianna,9/8/2019,0,,0,0
Marianna,9/9/2019,0,,0,0
Marianna,9/10/2019,0,,0,0
Marianna,9/11/2019,0,,0,0
Marianna,9/12/2019,0,,0,0
Marianna,9/13/2019,0,1.02,1.02,25.908
Marianna,9/14/2019,0,,0,0
Marianna,9/15/2019,0,,0,0
Marianna,9/16/2019,0,,0,0
Marianna,9/17/2019,0.02,,0.02,0.508
Marianna,9/18/2019,0,,0,0
Marianna,9/19/2019,0,0.23,0.23,5.842
Marianna,9/20/2019,0,0.82,0.82,20.828
Marianna,9/21/2019,0,,0,0
Marianna,9/22/2019,0,,0,0
Marianna,9/23/2019,0,,0,0
Marianna,9/24/2019,0,2,2,50.8
Marianna,9/25/2019,0,,0,0
Marianna,9/26/2019,0,0.2,0.2,5.08
Marianna,9/27/2019,0,1.02,1.02,25.908
Marianna,9/28/2019,0,,0,0
Marianna,9/29/2019,0,,0,0
Marianna,9/30/2019,0,,0,0
Marianna,10/1/2019,0,,0,0
Marianna,10/2/2019,0,,0,0
Marianna,10/3/2019,0,,0,0
Marianna,10/4/2019,0,,0,0
Marianna,10/5/2019,0,,0,0
Marianna,10/6/2019,0,,0,0
Marianna,10/7/2019,0,,0,0
Marianna,10/8/2019,0,,0,0
Marianna,10/9/2019,0,,0,0
Marianna,10/10/2019,0,,0,0
Marianna,10/11/2019,0,,0,0
Marianna,10/12/2019,0,,0,0
Marianna,10/13/2019,0,,0,0
Marianna,10/14/2019,0.17,,0.17,4.318
Marianna,10/15/2019,0.61,,0.61,15.494
Marianna,10/16/2019,0.02,,0.02,0.508
Marianna,10/17/2019,0,,0,0
Marianna,10/18/2019,0.03,,0.03,0.762
Marianna,10/19/2019,0.18,,0.18,4.572
Marianna,10/20/2019,0,,0,0
Marianna,10/21/2019,0.15,,0.15,3.81
Marianna,10/22/2019,0.01,,0.01,0.254
Marianna,10/23/2019,0,,0,0
Marianna,10/24/2019,0,,0,0
Marianna,10/25/2019,0,,0,0
Marianna,10/26/2019,0.03,,0.03,0.762
Marianna,10/27/2019,0,,0,0
Marianna,10/28/2019,0.02,,0.02,0.508
Marianna,10/29/2019,0.5,,0.5,12.7
Marianna,10/30/2019,0.21,,0.21,5.334
Marianna,10/31/2019,0.06,,0.06,1.524
Marianna,11/1/2019,0,,0,0
Marianna,11/2/2019,0,,0,0
Marianna,11/3/2019,0,,0,0
Marianna,11/4/2019,0,,0,0
Marianna,11/5/2019,0,,0,0
Marianna,11/6/2019,0.02,,0.02,0.508
Marianna,11/7/2019,0.14,,0.14,3.556
Marianna,11/8/2019,0.01,,0.01,0.254
Marianna,11/9/2019,0,,0,0
Marianna,11/10/2019,0,,0,0
Marianna,11/11/2019,0,,0,0
Marianna,11/12/2019,0.03,,0.03,0.762
Marianna,11/13/2019,0,,0,0
Marianna,11/14/2019,0.07,,0.07,1.778
Marianna,11/15/2019,0.04,,0.04,1.016
Marianna,11/16/2019,0.01,,0.01,0.254
Marianna,11/17/2019,0,,0,0
Marianna,11/18/2019,0,,0,0
Marianna,11/19/2019,0,,0,0
Marianna,11/20/2019,0,,0,0
Marianna,11/21/2019,0.1,,0.1,2.54
Marianna,11/22/2019,0,,0,0
Marianna,11/23/2019,0.19,,0.19,4.826
Marianna,11/24/2019,0,,0,0
Marianna,11/25/2019,0,,0,0
Marianna,11/26/2019,0,,0,0
Marianna,11/27/2019,0.02,,0.02,0.508
Marianna,11/28/2019,0,,0,0
Marianna,11/29/2019,0,,0,0
Marianna,11/30/2019,0,,0,0
Marianna,12/1/2019,0.09,,0.09,2.286
Marianna,12/2/2019,0,,0,0
Marianna,12/3/2019,0,,0,0
Marianna,12/4/2019,0,,0,0
Marianna,12/5/2019,0,,0,0
Marianna,12/6/2019,0.09,,0.09,2.286
Marianna,12/7/2019,0,,0,0
Marianna,12/8/2019,0,,0,0
Marianna,12/9/2019,0.05,,0.05,1.27
Marianna,12/10/2019,0.08,,0.08,2.032
