FAWN Station,TIMESTAMP,Rain_in,Irrig_in,RainIrr_in,rainIrr_mm
Quincy,5/15/2019,0,,0,0
Quincy,5/16/2019,0,,0,0
Quincy,5/17/2019,0,,0,0
Quincy,5/18/2019,0,,0,0
Quincy,5/19/2019,0,,0,0
Quincy,5/20/2019,0,,0,0
Quincy,5/21/2019,0,,0,0
Quincy,5/22/2019,0,,0,0
Quincy,5/23/2019,0,,0,0
Quincy,5/24/2019,0,,0,0
Quincy,5/25/2019,0,,0,0
Quincy,5/26/2019,0,,0,0
Quincy,5/27/2019,0,,0,0
Quincy,5/28/2019,0,,0,0
Quincy,5/29/2019,0,,0,0
Quincy,5/30/2019,0,,0,0
Quincy,5/31/2019,0.01,,0.01,0.254
Quincy,6/1/2019,0,,0,0
Quincy,6/2/2019,0,,0,0
Quincy,6/3/2019,0,,0,0
Quincy,6/4/2019,0,,0,0
Quincy,6/5/2019,0,,0,0
Quincy,6/6/2019,0.23,,0.23,5.842
Quincy,6/7/2019,0.56,,0.56,14.224
Quincy,6/8/2019,0.01,,0.01,0.254
Quincy,6/9/2019,0.18,,0.18,4.572
Quincy,6/10/2019,0.02,,0.02,0.508
Quincy,6/11/2019,0.97,,0.97,24.638
Quincy,6/12/2019,0.58,,0.58,14.732
Quincy,6/13/2019,0.1,,0.1,2.54
Quincy,6/14/2019,0,,0,0
Quincy,6/15/2019,0,,0,0
Quincy,6/16/2019,0,,0,0
Quincy,6/17/2019,0.35,,0.35,8.89
Quincy,6/18/2019,0.95,,0.95,24.13
Quincy,6/19/2019,0.2,,0.2,5.08
Quincy,6/20/2019,0.04,,0.04,1.016
Quincy,6/21/2019,0,,0,0
Quincy,6/22/2019,0,,0,0
Quincy,6/23/2019,0,,0,0
Quincy,6/24/2019,0,,0,0
Quincy,6/25/2019,0,,0,0
Quincy,6/26/2019,0,0.6,0.6,15.24
Quincy,6/27/2019,0,,0,0
Quincy,6/28/2019,0.31,,0.31,7.874
Quincy,6/29/2019,0.11,,0.11,2.794
Quincy,6/30/2019,0.01,,0.01,0.254
Quincy,7/1/2019,0,,0,0
Quincy,7/2/2019,0,,0,0
Quincy,7/3/2019,0,,0,0
Quincy,7/4/2019,0.75,,0.75,19.05
Quincy,7/5/2019,0.01,,0.01,0.254
Quincy,7/6/2019,2.77,,2.77,70.358
Quincy,7/7/2019,0.88,,0.88,22.352
Quincy,7/8/2019,0,,0,0
Quincy,7/9/2019,0.49,,0.49,12.446
Quincy,7/10/2019,0.5,,0.5,12.7
Quincy,7/11/2019,0.58,,0.58,14.732
Quincy,7/12/2019,0.52,,0.52,13.208
Quincy,7/13/2019,0.22,,0.22,5.588
Quincy,7/14/2019,0,,0,0
Quincy,7/15/2019,0,,0,0
Quincy,7/16/2019,0,,0,0
Quincy,7/17/2019,0,,0,0
Quincy,7/18/2019,0,,0,0
Quincy,7/19/2019,0.14,,0.14,3.556
Quincy,7/20/2019,0.19,,0.19,4.826
Quincy,7/21/2019,0.11,,0.11,2.794
Quincy,7/22/2019,0,,0,0
Quincy,7/23/2019,1.33,,1.33,33.782
Quincy,7/24/2019,0.01,,0.01,0.254
Quincy,7/25/2019,0,,0,0
Quincy,7/26/2019,0,,0,0
Quincy,7/27/2019,0,,0,0
Quincy,7/28/2019,0,,0,0
Quincy,7/29/2019,0,,0,0
Quincy,7/30/2019,0,,0,0
Quincy,7/31/2019,0,,0,0
Quincy,8/1/2019,0,,0,0
Quincy,8/2/2019,0.03,0.6,0.63,16.002
Quincy,8/3/2019,0.05,,0.05,1.27
Quincy,8/4/2019,0,,0,0
Quincy,8/5/2019,0.12,,0.12,3.048
Quincy,8/6/2019,0,,0,0
Quincy,8/7/2019,0,,0,0
Quincy,8/8/2019,0.02,,0.02,0.508
Quincy,8/9/2019,0,,0,0
Quincy,8/10/2019,0.32,,0.32,8.128
Quincy,8/11/2019,0,,0,0
Quincy,8/12/2019,0.48,0.5,0.98,24.892
Quincy,8/13/2019,0.01,,0.01,0.254
Quincy,8/14/2019,0.29,,0.29,7.366
Quincy,8/15/2019,4.21,,4.21,106.934
Quincy,8/16/2019,0.03,,0.03,0.762
Quincy,8/17/2019,0.02,,0.02,0.508
Quincy,8/18/2019,4.11,,4.11,104.394
Quincy,8/19/2019,0.29,,0.29,7.366
Quincy,8/20/2019,0.01,,0.01,0.254
Quincy,8/21/2019,0.01,,0.01,0.254
Quincy,8/22/2019,0.01,,0.01,0.254
Quincy,8/23/2019,0,,0,0
Quincy,8/24/2019,0,,0,0
Quincy,8/25/2019,0.08,,0.08,2.032
Quincy,8/26/2019,0.41,,0.41,10.414
Quincy,8/27/2019,1.35,,1.35,34.29
Quincy,8/28/2019,0,,0,0
Quincy,8/29/2019,0,,0,0
Quincy,8/30/2019,0,,0,0
Quincy,8/31/2019,0.19,,0.19,4.826
Quincy,9/1/2019,0,,0,0
Quincy,9/2/2019,0,,0,0
Quincy,9/3/2019,0,,0,0
Quincy,9/4/2019,0,,0,0
Quincy,9/5/2019,0,0.6,0.6,15.24
Quincy,9/6/2019,0,,0,0
Quincy,9/7/2019,0,,0,0
Quincy,9/8/2019,0,,0,0
Quincy,9/9/2019,0,,0,0
Quincy,9/10/2019,0,,0,0
Quincy,9/11/2019,0,,0,0
Quincy,9/12/2019,0,0.6,0.6,15.24
Quincy,9/13/2019,0,,0,0
Quincy,9/14/2019,0,,0,0
Quincy,9/15/2019,0,,0,0
Quincy,9/16/2019,0.03,,0.03,0.762
Quincy,9/17/2019,0,,0,0
Quincy,9/18/2019,0.08,,0.08,2.032
Quincy,9/19/2019,0,,0,0
Quincy,9/20/2019,0,,0,0
Quincy,9/21/2019,0,,0,0
Quincy,9/22/2019,0,,0,0
Quincy,9/23/2019,0,,0,0
Quincy,9/24/2019,0,,0,0
Quincy,9/25/2019,0,,0,0
Quincy,9/26/2019,0,,0,0
Quincy,9/27/2019,0,,0,0
Quincy,9/28/2019,0,,0,0
Quincy,9/29/2019,0,,0,0
Quincy,9/30/2019,0,,0,0
Quincy,10/1/2019,0.04,,0.04,1.016
Quincy,10/2/2019,0,,0,0
Quincy,10/3/2019,0,,0,0
Quincy,10/4/2019,0,,0,0
Quincy,10/5/2019,0,,0,0
Quincy,10/6/2019,0,,0,0
Quincy,10/7/2019,0,,0,0
Quincy,10/8/2019,0,0.6,0.6,15.24
Quincy,10/9/2019,0,,0,0
Quincy,10/10/2019,0,,0,0
Quincy,10/11/2019,0,,0,0
Quincy,10/12/2019,0,,0,0
Quincy,10/13/2019,0,,0,0
Quincy,10/14/2019,0.19,,0.19,4.826
Quincy,10/15/2019,1.84,,1.84,46.736
Quincy,10/16/2019,0.01,,0.01,0.254
Quincy,10/17/2019,0,,0,0
Quincy,10/18/2019,0.08,,0.08,2.032
Quincy,10/19/2019,0.43,,0.43,10.922
Quincy,10/20/2019,0.01,,0.01,0.254
Quincy,10/21/2019,0,,0,0
Quincy,10/22/2019,0.66,,0.66,16.764
Quincy,10/23/2019,0,,0,0
Quincy,10/24/2019,0,,0,0
Quincy,10/25/2019,0,,0,0
Quincy,10/26/2019,0.36,,0.36,9.144
Quincy,10/27/2019,0.01,,0.01,0.254
Quincy,10/28/2019,0,,0,0
Quincy,10/29/2019,0.98,,0.98,24.892
Quincy,10/30/2019,0,,0,0
Quincy,10/31/2019,0.08,,0.08,2.032
Quincy,11/1/2019,0,,0,0
Quincy,11/2/2019,0,,0,0
Quincy,11/3/2019,0,,0,0
Quincy,11/4/2019,0,,0,0
Quincy,11/5/2019,0.58,,0.58,14.732
Quincy,11/6/2019,0,,0,0
Quincy,11/7/2019,0,,0,0
Quincy,11/8/2019,0.02,,0.02,0.508
Quincy,11/9/2019,0,,0,0
Quincy,11/10/2019,0,,0,0
Quincy,11/11/2019,0,,0,0
Quincy,11/12/2019,0.03,,0.03,0.762
Quincy,11/13/2019,0,,0,0
Quincy,11/14/2019,0.15,,0.15,3.81
Quincy,11/15/2019,0.04,,0.04,1.016
Quincy,11/16/2019,0.01,,0.01,0.254
Quincy,11/17/2019,0,,0,0
Quincy,11/18/2019,0,,0,0
Quincy,11/19/2019,0,,0,0
Quincy,11/20/2019,0,,0,0
Quincy,11/21/2019,0,,0,0
Quincy,11/22/2019,0,,0,0
Quincy,11/23/2019,0.2,,0.2,5.08
Quincy,11/24/2019,0,,0,0
Quincy,11/25/2019,0,,0,0
Quincy,11/26/2019,0,,0,0
Quincy,11/27/2019,0,,0,0
Quincy,11/28/2019,0,,0,0
Quincy,11/29/2019,0,,0,0
Quincy,11/30/2019,0,,0,0
Quincy,12/1/2019,0.18,,0.18,4.572
Quincy,12/2/2019,0,,0,0
Quincy,12/3/2019,0,,0,0
Quincy,12/4/2019,0,,0,0
Quincy,12/5/2019,0,,0,0
Quincy,12/6/2019,0,,0,0
Quincy,12/7/2019,0,,0,0
Quincy,12/8/2019,0,,0,0
Quincy,12/9/2019,0.03,,0.03,0.762
Quincy,12/10/2019,0.02,,0.02,0.508
Quincy,12/11/2019,0.05,,0.05,1.27
Quincy,12/12/2019,0.02,,0.02,0.508
Quincy,12/13/2019,0.03,,0.03,0.762
Quincy,12/14/2019,0.27,,0.27,6.858
Quincy,12/15/2019,0,,0,0
Quincy,12/16/2019,0,,0,0
Quincy,12/17/2019,1.19,,1.19,30.226
Quincy,12/18/2019,0,,0,0
Quincy,12/19/2019,0,,0,0
Quincy,12/20/2019,0,,0,0
Quincy,12/21/2019,0.32,,0.32,8.128
Quincy,12/22/2019,2.16,,2.16,54.864
