Location,TIMESTAMP,AirT_15cm_C,RH_15cm,SoilT5_C,SoilT10_C,VWC,Rain(in)
Live Oak,6/14/2019 17:00,32.57636,32.92126,33.13327,30.5108,NA,0
Live Oak,6/14/2019 17:15,32.76867,32.70759,33.06381,30.67642,NA,0
Live Oak,6/14/2019 17:30,32.77477,31.42554,33.01898,30.76828,NA,0
Live Oak,6/14/2019 17:45,32.48631,32.07573,32.92786,30.78729,NA,0
Live Oak,6/14/2019 18:00,32.42678,34.17126,32.80078,30.80948,NA,0
Live Oak,6/14/2019 18:15,32.01012,37.0452,32.66583,30.80634,NA,0
Live Oak,6/14/2019 18:30,32.13527,36.16913,32.49646,30.79681,NA,0
Live Oak,6/14/2019 18:45,31.73081,38.35015,32.27567,30.77618,NA,0
Live Oak,6/14/2019 19:00,31.27142,37.79306,32.07199,30.74213,NA,0
Live Oak,6/14/2019 19:15,31.35078,43.49972,31.90134,30.67642,NA,0
Live Oak,6/14/2019 19:30,30.56781,46.83001,31.75595,30.53833,NA,0
Live Oak,6/14/2019 19:45,28.61269,52.21157,31.42419,30.56671,NA,0
Live Oak,6/14/2019 20:00,27.85719,53.6432,31.03479,30.48251,NA,0
Live Oak,6/14/2019 20:15,27.65115,56.34924,30.70016,30.39532,NA,0
Live Oak,6/14/2019 20:30,26.85444,57.30162,30.3577,30.27786,NA,0
Live Oak,6/14/2019 20:45,26.06384,58.89503,30.00836,30.14984,NA,0
Live Oak,6/14/2019 21:00,25.75859,61.70029,29.67465,29.98895,NA,0
Live Oak,6/14/2019 21:15,25.22287,63.0205,29.3508,29.83337,NA,0
Live Oak,6/14/2019 21:30,24.78332,65.69448,29.11078,29.6785,NA,0
Live Oak,6/14/2019 21:45,24.48875,66.19357,28.79633,29.51352,NA,0
Live Oak,6/14/2019 22:00,24.13466,71.13253,28.54791,29.36301,NA,0
Live Oak,6/14/2019 22:15,23.75767,72.84346,28.29739,29.20474,NA,0
Live Oak,6/14/2019 22:30,23.39595,71.71861,28.04489,29.0578,NA,0
Live Oak,6/14/2019 22:45,23.14106,76.06995,27.81598,28.92194,NA,0
Live Oak,6/14/2019 23:00,23.02354,71.93228,27.58481,28.75507,NA,0
Live Oak,6/14/2019 23:15,22.76408,76.85445,27.35284,28.577,NA,0
Live Oak,6/14/2019 23:30,22.37031,77.01623,27.15106,28.4451,NA,0
Live Oak,6/14/2019 23:45,22.24974,76.51104,26.86673,28.28333,NA,0
Live Oak,6/15/2019 0:00,22.10168,77.33827,26.74774,28.1532,NA,0
Live Oak,6/15/2019 0:15,21.73538,77.87551,26.57669,27.98898,NA,0
Live Oak,6/15/2019 0:30,21.80865,75.41519,26.41342,27.85696,NA,0
Live Oak,6/15/2019 0:45,21.6896,76.80713,26.21643,27.71808,NA,0
Live Oak,6/15/2019 1:00,21.54003,78.54248,26.05466,27.57538,NA,0
Live Oak,6/15/2019 1:15,21.37061,81.25463,25.91162,27.45416,NA,0
Live Oak,6/15/2019 1:30,20.98141,83.49364,25.77258,27.32974,NA,0
Live Oak,6/15/2019 1:45,20.58917,85.23968,25.63336,27.19135,NA,0
Live Oak,6/15/2019 2:00,20.10841,86.62551,25.51459,26.99539,NA,0
Live Oak,6/15/2019 2:15,19.94815,87.37032,25.33984,26.94388,NA,0
Live Oak,6/15/2019 2:30,19.9222,86.93077,25.20139,26.83322,NA,0
Live Oak,6/15/2019 2:45,19.591,90.04432,25.07913,26.71646,NA,0
Live Oak,6/15/2019 3:00,19.32391,92.30622,24.94431,26.59937,NA,0
Live Oak,6/15/2019 3:15,19.46738,92.83431,24.80722,26.48331,NA,0
Live Oak,6/15/2019 3:30,18.71341,92.50769,24.68341,26.38733,NA,0
Live Oak,6/15/2019 3:45,18.80804,94.24303,24.54312,26.27405,NA,0
Live Oak,6/15/2019 4:00,18.99577,94.40941,24.41141,26.15823,NA,0
Live Oak,6/15/2019 4:15,18.95761,93.83706,24.29816,26.05396,NA,0
Live Oak,6/15/2019 4:30,18.64625,94.35903,24.18521,25.92279,NA,0
Live Oak,6/15/2019 4:45,18.47684,95.45489,24.07126,25.84482,NA,0
Live Oak,6/15/2019 5:00,18.71341,95.67924,23.96091,25.73306,NA,0
Live Oak,6/15/2019 5:15,19.61389,94.88254,23.8674,25.63889,NA,0
Live Oak,6/15/2019 5:30,19.83368,93.56997,23.77411,25.52701,NA,0
Live Oak,6/15/2019 5:45,19.765,94.45519,23.71005,25.48151,NA,0
Live Oak,6/15/2019 6:00,19.93289,94.41704,23.65335,25.39478,NA,0
Live Oak,6/15/2019 6:15,19.83826,94.55287,23.58157,25.31308,NA,0
Live Oak,6/15/2019 6:30,19.41548,95.03059,23.53622,25.26028,NA,0
Live Oak,6/15/2019 6:45,19.35443,95.98145,23.48169,25.17883,NA,0
Live Oak,6/15/2019 7:00,19.56353,96.08981,23.4581,25.11188,NA,0
Live Oak,6/15/2019 7:15,20.08246,95.06111,23.49878,25.04367,NA,0
Live Oak,6/15/2019 7:30,20.69906,92.74426,23.54871,24.99124,NA,0
