Location,TIMESTAMP,AirT_15cm_C,RH_15cm,SoilT5_C,SoilT10_C,VWC,Rain(in)
Marianna,6/13/2019 14:15,31.69877,38.55924,31.76984,34.08514,NA,0
Marianna,6/13/2019 14:30,32.72288,38.29826,31.18121,30.03552,NA,0
Marianna,6/13/2019 14:45,33.3227,35.74636,31.26468,30.14676,NA,0
Marianna,6/13/2019 15:00,33.40359,35.16028,31.44199,30.23956,NA,0
Marianna,6/13/2019 15:15,33.37154,35.85167,31.60712,30.37491,NA,0
Marianna,6/13/2019 15:30,33.3456,38.68287,31.80817,30.51947,NA,0
Marianna,6/13/2019 15:45,33.91335,33.55466,31.99228,30.68988,NA,0
Marianna,6/13/2019 16:00,34.05682,33.91486,32.1947,30.83014,NA,0
Marianna,6/13/2019 16:15,34.10872,36.4286,32.4249,31.01163,NA,0
Marianna,6/13/2019 16:30,33.64626,35.55711,32.64746,31.15717,NA,0
Marianna,6/13/2019 16:45,33.47379,33.48445,32.73035,31.30008,NA,0
Marianna,6/13/2019 17:00,34.10567,33.61571,32.88989,31.41611,NA,0
Marianna,6/13/2019 17:15,33.84772,35.30222,33.01898,31.53577,NA,0
Marianna,6/13/2019 17:30,33.12733,36.54612,33.02069,31.64288,NA,0
Marianna,6/13/2019 17:45,33.35323,34.31779,32.88318,31.72092,NA,0
Marianna,6/13/2019 18:00,33.40816,37.70607,32.82599,31.72745,NA,0
Marianna,6/13/2019 18:15,34.0904,36.69264,32.85959,31.74051,NA,0
Marianna,6/13/2019 18:30,34.2064,38.75613,32.96243,31.75595,NA,0
Marianna,6/13/2019 18:45,33.35933,36.54001,32.96072,31.79263,NA,0
Marianna,6/13/2019 19:00,33.95151,38.08305,32.90341,31.80573,NA,0
Marianna,6/13/2019 19:15,33.16397,36.93226,32.80164,31.79263,NA,0
Marianna,6/13/2019 19:30,32.57636,42.97164,32.63824,31.77066,NA,0
Marianna,6/13/2019 19:45,31.77355,41.44386,32.41162,31.72092,NA,0
Marianna,6/13/2019 20:00,31.01043,46.61938,32.06952,31.62662,NA,0
